Database;TOTAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Words;557561;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
total;2126634;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;!ENTER;<p:>;@;C;E;E:;E~;I;N;O;OY;O~;Q;S;U;Y;Z;2;02:00:00;6;9;9~;a;a:;aI;aU;a~;b;d;e;e:;f;g;h;i;i:;j;k;l;m;n;o;o:;p;r;s;t;u;u:;v;x;y;y:;z;!EXIT
!ENTER;0;0.02141073;0.000158598;0.000237897;0.0008326394;0.0000396495;0;0.002815115;0.00007929896;0.000158598;0;0;0.2055034;0.007692002;0.0002775466;0;0;0;0.0000396495;0.0000396495;0;0;0.000872289;0.000237897;0.000396495;0.00007929896;0;0.009476233;0.09682407;0;0.0001189484;0.01661314;0.1095516;0.02271916;0;0.0003171958;0.2876968;0.007612704;0.002735816;0.06732484;0.03683439;0;0.0001189484;0.005075136;0.002696166;0.00237897;0.01764403;0;0.0003171958;0.0478966;0;0;0.000158598;0.02097459;0.004044249
<p:>;0;0.09874021;0.003201908;0.003290236;0.004548917;0.0001545749;0;0.01737863;0.0002760267;0.001656159;0;0;0.1566506;0.01301741;0.01532499;0;0.00001104107;0;0.00001104107;0;0;0;0.01349218;0.004968478;0.003003169;0.003312319;0;0.0405207;0.1283965;0.00001104107;0.005332832;0.05266586;0.03832353;0.02368308;0;0.002649855;0.04383302;0.03135661;0.006447981;0.04860276;0.04302702;0;0.003798124;0.009230327;0.004206645;0.009097834;0.04584249;0.00001104107;0.002771307;0.08129533;0.00008832849;0;0.002020514;0.03651279;0.001236599
@;0;0.06214196;0.0004065591;0.001305917;0.004743189;0.00003695993;0;0.0157942;0.004964949;0.001293598;0;0;0.01894812;0.03926375;0.006652786;0;0.00003695993;0;0.00008623983;0.00001231997;0;0;0.01282509;0.005063509;0.006394066;0.007428945;0;0.01880028;0.04532519;0;0.001244318;0.03724328;0.0280649;0.01422957;0;0.002266875;0.008944301;0.01749436;0.02542843;0.05290196;0.3387254;0;0.001958876;0.005408467;0.03732952;0.06587491;0.03604824;0;0.0007515185;0.02667274;0.00001231997;0;0.001108798;0.03049194;0.01627468
C;0;0.08708578;0.03398369;0.0006606791;0.003840199;0.00002064622;0;0.01424589;0.0001032311;0.002085269;0;0;0.03361206;0.0186229;0.0153195;;0.00002064622;0;0.00002064622;0.007990091;0;0;0.01434913;0.002849179;0.005966761;0.01631052;0;0.02145143;0.07496646;0.00004129247;0.003096934;0.03365335;0.02952411;0.03978528;0.0007432641;0.006875193;0.01030247;0.0267988;0.01102508;0.05429958;0.05869722;0.000185816;0.0006193867;0.002167854;0.006462269;0.04199442;0.2153814;0;0.003757612;0.05089295;0;0;0.002209147;0.03187777;0.01608341
E;0;0.002412823;0.00003829878;0.0749124;0.00005744817;0;0;0.0004978839;0.026407;0;0;0;0.003657532;0.001761743;0.0000957469;0;0;0;0;0.2451887;0;0;0.0004404357;0.00007659752;0.0001723444;0.0000957469;0;0.0001340457;0.004059669;0;0.00003829878;0.05530342;0.0004021371;0.0007468259;0;0.0001148963;0.0001340457;0.046533;0.09725971;0.03716896;0.1650677;0;0.00003829878;0.008215086;0.004442658;0.1022577;0.116141;0;0;0.003714981;0;0;0.00001914938;0.0009766188;0.001417054
E:;0;0.01064415;0.0350523;0.01761791;0.0005505596;0;0;0.005872636;0.0001835199;0;0;0;0.01082767;0;0.0003670398;0;0;0;0;0.5601028;0;0;0.0001835199;0.0007340795;0.0007340795;0.0003670398;0;0.008808954;0.007157277;0;0.0005505596;0.007157277;0.007340795;0;0.0003670398;0.0007340795;0.001101119;0.008992475;0.01174527;0.02771151;0.01266287;0;0;0;0.2024225;0.02422463;0.03376767;0;0;0.0003670398;0;0;0;0.00128464;0.0003670398
E~;0;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852;0.01851852
I;0;0.002840182;0.0004677945;0.394451;0.0004232427;0;0;0.001136073;0.02400232;0.0001670695;0;0;0.001514763;0.01509195;0.0001782074;0.00001113796;0;0;0.00001113796;0.03508459;0;0;0.0004455187;0.0003786909;0.0003564149;0;0.0004789325;0.01067017;0;0.0001559316;0.006114743;0.01660671;0.006036779;0;;0.0003452769;0.005101189;0.02453694;0.01597184;0.05147967;0.1430672;0;0.00001113796;0.003965117;0.0003564149;0.1512647;0.08042725;0;0.0001782074;0.001603867;0;0;0.00007796575;0.004432911;0.0002004834
N;0;0.1121123;0.08738476;0.0003143336;0.0127829;0;0;0.01975063;0.02315591;0.005815172;0;0;0.0156119;0.004767392;0.0189648;0.0001047779;0;0;0;0.009849119;0;0;0.02231769;0.004191114;0.004872172;0.006496226;0;0.01288768;0.06485751;0;0.0009430007;0.02729463;0.03033319;0.01692163;0.00005238893;0.0009430007;0.01000629;0.1206517;0.04479254;0.0222653;0.02713747;0;0.00492456;0.001781223;0.00246228;0.06066638;0.04390193;0;0.0005762782;0.1125838;0;0;0.0009953895;0.02692791;0.01760268
O;0;0.0005726605;0.0002021156;0.00003368593;0.0009095196;0;0;0.0009768913;0.004210739;0.00006737182;0;0;0.0005389746;0.0004716029;0.0004716029;0;0;0;0;0.1051337;0;0;0.001886412;0.00003368593;0.002829616;0.0004716029;0;0.003739137;0.001246379;0;0.0002021156;0.01323856;0.001212693;0.01785354;0;0.00003368593;0.0002021156;0.02566867;0.1109951;0.1234589;0.1812976;0;0.00003368593;0.03227111;0.002526443;0.0188978;0.03338274;0;0.00003368593;0.0008421478;0.3130432;0;0.0004716029;0.000370545;0.0001684296
