Database	TOTAL
Words	557561
total     2126634
!ENTER    0 2.141073e-02 1.585980e-04 2.378970e-04 8.326394e-04 3.964950e-05 0 2.815115e-03 7.929896e-05 1.585980e-04 0*2 2.055034e-01 7.692002e-03 2.775466e-04 0*3 3.964950e-05*2 0*2 8.722890e-04 2.378970e-04 3.964950e-04 7.929896e-05 0 9.476233e-03 9.682407e-02 0 1.189484e-04 1.661314e-02 1.095516e-01 2.271916e-02 0 3.171958e-04 2.876968e-01 7.612704e-03 2.735816e-03 6.732484e-02 3.683439e-02 0 1.189484e-04 5.075136e-03 2.696166e-03 2.378970e-03 1.764403e-02 0 3.171958e-04 4.789660e-02 0*2 1.585980e-04 2.097459e-02 4.044249e-03
<p:>      0 9.874021e-02 3.201908e-03 3.290236e-03 4.548917e-03 1.545749e-04 0 1.737863e-02 2.760267e-04 1.656159e-03 0*2 1.566506e-01 1.301741e-02 1.532499e-02 0 1.104107e-05 0 1.104107e-05 0*3 1.349218e-02 4.968478e-03 3.003169e-03 3.312319e-03 0 4.052070e-02 1.283965e-01 1.104107e-05 5.332832e-03 5.266586e-02 3.832353e-02 2.368308e-02 0 2.649855e-03 4.383302e-02 3.135661e-02 6.447981e-03 4.860276e-02 4.302702e-02 0 3.798124e-03 9.230327e-03 4.206645e-03 9.097834e-03 4.584249e-02 1.104107e-05 2.771307e-03 8.129533e-02 8.832849e-05 0 2.020514e-03 3.651279e-02 1.236599e-03
@         0 6.214196e-02 4.065591e-04 1.305917e-03 4.743189e-03 3.695993e-05 0 1.579420e-02 4.964949e-03 1.293598e-03 0*2 1.894812e-02 3.926375e-02 6.652786e-03 0 3.695993e-05 0 8.623983e-05 1.231997e-05 0*2 1.282509e-02 5.063509e-03 6.394066e-03 7.428945e-03 0 1.880028e-02 4.532519e-02 0 1.244318e-03 3.724328e-02 2.806490e-02 1.422957e-02 0 2.266875e-03 8.944301e-03 1.749436e-02 2.542843e-02 5.290196e-02 3.387254e-01 0 1.958876e-03 5.408467e-03 3.732952e-02 6.587491e-02 3.604824e-02 0 7.515185e-04 2.667274e-02 1.231997e-05 0 1.108798e-03 3.049194e-02 1.627468e-02
C         0 8.708578e-02 3.398369e-02 6.606791e-04 3.840199e-03 2.064622e-05 0 1.424589e-02 1.032311e-04 2.085269e-03 0*2 3.361206e-02 1.862290e-02 1.531950e-02 2.064622e-05*2 0 2.064622e-05 7.990091e-03 0*2 1.434913e-02 2.849179e-03 5.966761e-03 1.631052e-02 0 2.145143e-02 7.496646e-02 4.129247e-05 3.096934e-03 3.365335e-02 2.952411e-02 3.978528e-02 7.432641e-04 6.875193e-03 1.030247e-02 2.679880e-02 1.102508e-02 5.429958e-02 5.869722e-02 1.858160e-04 6.193867e-04 2.167854e-03 6.462269e-03 4.199442e-02 2.153814e-01 0 3.757612e-03 5.089295e-02 0*2 2.209147e-03 3.187777e-02 1.608341e-02
E         0 2.412823e-03 3.829878e-05 7.491240e-02 5.744817e-05 0*2 4.978839e-04 2.640700e-02 0*3 3.657532e-03 1.761743e-03 9.574690e-05 0*4 2.451887e-01 0*2 4.404357e-04 7.659752e-05 1.723444e-04 9.574690e-05 0 1.340457e-04 4.059669e-03 0 3.829878e-05 5.530342e-02 4.021371e-04 7.468259e-04 0 1.148963e-04 1.340457e-04 4.653300e-02 9.725971e-02 3.716896e-02 1.650677e-01 0 3.829878e-05 8.215086e-03 4.442658e-03 1.022577e-01 1.161410e-01 0*2 3.714981e-03 0*2 1.914938e-05 9.766188e-04 1.417054e-03
E:        0 1.064415e-02 3.505230e-02 1.761791e-02 5.505596e-04 0*2 5.872636e-03 1.835199e-04 0*3 1.082767e-02 0 3.670398e-04 0*4 5.601028e-01 0*2 1.835199e-04 7.340795e-04*2 3.670398e-04 0 8.808954e-03 7.157277e-03 0 5.505596e-04 7.157277e-03 7.340795e-03 0 3.670398e-04 7.340795e-04 1.101119e-03 8.992475e-03 1.174527e-02 2.771151e-02 1.266287e-02 0*3 2.024225e-01 2.422463e-02 3.376767e-02 0*2 3.670398e-04 0*3 1.284640e-03 3.670398e-04
E~        0 1.851852e-02*54
I         0 2.840182e-03 4.677945e-04 3.944510e-01 4.232427e-04 0*2 1.136073e-03 2.400232e-02 1.670695e-04 0*2 1.514763e-03 1.509195e-02 1.782074e-04 1.113796e-05 0*2 1.113796e-05 3.508459e-02 0*2 4.455187e-04 3.786909e-04 3.564149e-04*2 0 4.789325e-04 1.067017e-02 0 1.559316e-04 6.114743e-03 1.660671e-02 6.036779e-03 0 3.452769e-04 5.101189e-03 2.453694e-02 1.597184e-02 5.147967e-02 1.430672e-01 0 1.113796e-05 3.965117e-03 3.564149e-04 1.512647e-01 8.042725e-02 0 1.782074e-04 1.603867e-03 0*2 7.796575e-05 4.432911e-03 2.004834e-04
N         0 1.121123e-01 8.738476e-02 3.143336e-04 1.278290e-02 0*2 1.975063e-02 2.315591e-02 5.815172e-03 0*2 1.561190e-02 4.767392e-03 1.896480e-02 1.047779e-04 0*3 9.849119e-03 0*2 2.231769e-02 4.191114e-03 4.872172e-03 6.496226e-03 0 1.288768e-02 6.485751e-02 0 9.430007e-04 2.729463e-02 3.033319e-02 1.692163e-02 5.238893e-05 9.430007e-04 1.000629e-02 1.206517e-01 4.479254e-02 2.226530e-02 2.713747e-02 0 4.924560e-03 1.781223e-03 2.462280e-03 6.066638e-02 4.390193e-02 0 5.762782e-04 1.125838e-01 0*2 9.953895e-04 2.692791e-02 1.760268e-02
O         0 5.726605e-04 2.021156e-04 3.368593e-05 9.095196e-04 0*2 9.768913e-04 4.210739e-03 6.737182e-05 0*2 5.389746e-04 4.716029e-04*2 0*4 1.051337e-01 0*2 1.886412e-03 3.368593e-05 2.829616e-03 4.716029e-04 0 3.739137e-03 1.246379e-03 0 2.021156e-04 1.323856e-02 1.212693e-03 1.785354e-02 0 3.368593e-05 2.021156e-04 2.566867e-02 1.109951e-01 1.234589e-01 1.812976e-01 0 3.368593e-05 3.227111e-02 2.526443e-03 1.889780e-02 3.338274e-02 0 3.368593e-05 8.421478e-04 3.130432e-01 0 4.716029e-04 3.705450e-04 1.684296e-04
OY        0 1.433252e-03 2.170352e-02 2.313677e-02 2.047502e-04 0*2 1.105651e-02 0*4 3.071253e-03 5.323505e-03 6.142505e-04 0*4 1.781327e-02 0*2 6.142505e-04 0*4 2.866503e-03 1.146601e-02 0 2.047502e-04 3.828829e-02 3.685503e-03 6.142505e-04 0*2 2.047502e-03 5.180179e-02 3.890255e-03 2.846028e-02 5.272317e-01 0*2 6.142505e-04 2.006552e-02 6.142505e-03 2.147830e-01 0*2 4.095003e-04 0*3 2.047502e-03 4.095003e-04
O~        0*28 1 0*26
Q         0 4.054146e-04 2.702764e-04 4.955068e-04 1.046195e-01 2.319872e-03 0 1.914232e-01 0 9.392101e-03 2.229779e-03 0*3 1.208811e-01 2.905471e-03 0*2 3.040608e-03 0 1.914458e-03 0 2.061983e-01 4.763621e-02 7.937115e-02 5.669047e-02 6.756910e-05 4.504607e-05 1.576612e-04 9.797519e-03 3.065384e-02 4.504607e-05*2 2.252302e-05 5.022636e-03 1.540575e-02 2.252302e-05 0*2 5.405528e-04 2.768080e-02 3.851438e-02 2.211762e-02 0*4 1.306336e-03 1.180207e-02 2.252302e-05 0*2 6.892048e-03 2.252302e-05*2
S         0 1.099870e-02 1.981622e-02 1.392241e-04 3.596621e-02 5.568962e-04 0 1.220531e-02 2.320400e-04 7.286059e-03 1.856322e-04 0 2.552441e-03 6.218676e-03 8.214220e-03 1.424726e-02 0*2 4.487655e-02 3.619826e-03 9.281604e-05 0 1.684611e-02 3.619826e-03 2.278634e-02 5.745313e-02 0 5.104882e-04 3.387786e-03 4.640804e-05 1.206609e-03 1.809913e-03 2.366809e-03 8.353444e-04 8.817523e-04 1.406163e-02 1.902729e-03 1.624280e-03 1.368108e-01 9.188789e-03 5.476147e-02 9.281604e-05 9.476518e-02 1.298032e-01 1.935215e-02 5.104882e-04 2.257750e-01 0 4.919251e-03 2.320401e-02 0*2 6.033043e-04 1.485057e-03 2.181177e-03
U         0 1.382835e-03 6.012323e-05 3.006163e-05 1.503081e-04 0*2 7.816025e-04 1.030813e-01 6.012323e-05 0*2 1.803698e-04 9.920338e-04 6.012323e-05 0*4 4.713663e-02 0*2 2.104315e-04 9.018484e-05 6.012323e-05 3.006163e-05 0 3.306778e-04 2.434992e-03 0 3.006163e-05 1.803698e-03 1.202465e-04 1.503081e-04 0*2 1.503081e-04 1.121299e-02 7.335036e-03 1.677739e-01 5.629340e-01 0*2 1.683451e-03 9.018484e-05 6.733804e-02 1.190441e-02 0*2 5.711709e-04 1.202465e-03 0 3.006163e-05 8.357133e-03 2.404929e-04
Y         0 1.753316e-03 0 2.896783e-03 7.623111e-05 0*2 6.860803e-04 1.448392e-03 0*3 9.147737e-04 6.098491e-04 3.506633e-03 0*4 2.918890e-01 0*2 8.385426e-04 7.623111e-05 4.268943e-03 1.524623e-04 0 1.219698e-03 2.447019e-02 0*2 9.757586e-03 1.219698e-03 1.295929e-03 0 3.049244e-04 2.286934e-04 7.280074e-02 2.271688e-02 9.719469e-02 2.915078e-01 0*2 1.112974e-02 1.143467e-03 1.395792e-01 8.385423e-03 0*2 1.067236e-03 0*3 6.784569e-03 7.623111e-05
Z         0*2 4.659498e-01 0 1.648746e-01 0*2 3.584229e-03 0 5.734767e-02 0*4 1.075269e-02 0*4 7.168459e-03 0*2 4.301075e-02 7.168459e-03 0*5 1.075269e-02 7.526883e-02 0*3 3.584229e-03 8.243728e-02 3.584229e-03 0*2 3.584229e-03 0 2.508961e-02 2.150538e-02 0*5 1.075269e-02 0*3 3.584229e-03 0*2
2        0 1.851852e-02*54
2:       0 2.676537e-02 3.132119e-03 2.562643e-03 2.847379e-04 0*2 5.694761e-04 3.075171e-02 0*3 2.562643e-03 0 5.694761e-04 0 5.694761e-04 0 2.847379e-04 2.437358e-01 0*2 2.847379e-04*2 0*3 2.847379e-04 2.192483e-02 0*3 3.302961e-02 2.847379e-04 0*2 2.847379e-04 2.343394e-01 4.840547e-03 7.403191e-03 2.730638e-01 0*2 1.708428e-03 3.473805e-02 4.071754e-02 2.192483e-02 0*2 2.562643e-03 0*3 1.053531e-02 0
6        0 7.313507e-02 1.069456e-03 5.592567e-03 5.151048e-03 4.905758e-05 0 1.750375e-02 9.311131e-03 1.501163e-03 0*2 1.713091e-02 3.528223e-02 1.891661e-02 0 1.962304e-05 0 9.811525e-06 0 9.811525e-06 0 2.174233e-02 5.023498e-03 1.458973e-02 1.359877e-02 0 3.030779e-02 1.111449e-01 1.962304e-05 6.151823e-03 4.811570e-02 3.781360e-02 2.961117e-02 0 1.422670e-03 8.280923e-03 2.869870e-02 2.392049e-02 7.558796e-02 9.792879e-02 0 2.138912e-03 5.425772e-03 9.281697e-03 5.453243e-02 9.349398e-02 0 8.634138e-04 3.518411e-02 7.849216e-05 0 1.618901e-03 3.622414e-02 2.251744e-02
