Database	TOTAL
Words	557561
total     2056487
Phon	Count	P(Phon)   	P(WI|Phon)	P(WF|Phon)	P(WM|Phon)	Mean(Phon)	SD(Phon)	QQ_25(Phon)	QQ_50(Phon)	QQ_75(Phon)	Mean(WI Phon)	SD(WI Phon)	QQ_25(WI Phon)	QQ_50(WI Phon)	QQ_75(WI Phon)	Mean(WF Phon)	SD(WF Phon)	QQ_25(WF Phon)	QQ_50(WF Phon)	QQ_75(WF Phon)	Mean(WM Phon)	SD(WM Phon)	QQ_25(WM Phon)	QQ_50(WM Phon)	QQ_75(WM Phon)	Mean(WS Phon)	SD(WS Phon)	QQ_25(WS Phon)	QQ_50(WS Phon)	QQ_75(WS Phon)
OY	4797	2.332619e-03	0.000000e+00	3.585574e-02	9.641443e-01	1.238222e-01	4.575802e-02	9.000000e-02	1.200000e-01	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.131686e-01	4.854600e-02	8.000000e-02	1.100000e-01	1.300000e-01	1.242184e-01	4.560863e-02	9.000000e-02	1.200000e-01	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
aI	47502	2.309861e-02	1.508147e-01	1.643931e-01	6.830870e-01	1.287861e-01	8.816030e-02	8.000000e-02	1.100000e-01	1.500000e-01	1.217313e-01	9.596191e-02	8.000000e-02	1.100000e-01	1.400000e-01	1.369108e-01	1.052304e-01	7.000000e-02	1.000000e-01	1.700000e-01	1.283498e-01	8.142562e-02	9.000000e-02	1.200000e-01	1.500000e-01	1.441983e-01	9.621370e-02	9.000000e-02	1.200000e-01	1.600000e-01
aU	19525	9.494346e-03	4.355954e-01	1.388476e-01	4.030218e-01	1.368123e-01	6.897269e-02	9.000000e-02	1.300000e-01	1.700000e-01	1.422075e-01	6.683330e-02	9.000000e-02	1.400000e-01	1.800000e-01	1.401697e-01	9.161129e-02	7.000000e-02	1.100000e-01	1.900000e-01	1.318643e-01	6.189224e-02	9.000000e-02	1.200000e-01	1.700000e-01	1.003295e-01	4.665282e-02	6.000000e-02	1.000000e-01	1.300000e-01
E:	2397	1.165580e-03	9.595327e-03	8.218607e-02	9.011264e-01	1.510372e-01	1.711572e-01	8.000000e-02	1.100000e-01	1.600000e-01	1.780462e-01	1.806083e-01	1.025000e-01	1.400000e-01	1.750000e-01	1.831475e-01	1.304826e-01	5.000000e-02	1.800000e-01	3.000000e-01	1.467065e-01	1.740029e-01	8.000000e-02	1.100000e-01	1.500000e-01	2.926471e-01	1.019515e-01	2.400000e-01	2.900000e-01	3.400000e-01
y:	4042	1.965488e-03	3.631865e-01	4.675903e-02	5.752103e-01	7.630628e-02	4.787815e-02	4.000000e-02	6.000000e-02	9.000000e-02	6.636580e-02	3.369473e-02	4.000000e-02	5.000000e-02	8.000000e-02	1.506349e-01	8.553100e-02	8.000000e-02	1.400000e-01	2.100000e-01	7.298065e-02	3.826511e-02	4.000000e-02	6.000000e-02	9.000000e-02	2.142500e-01	8.857547e-02	1.700000e-01	2.200000e-01	2.700000e-01
2:	2656	1.291523e-03	6.400602e-03	5.685241e-02	9.363705e-01	1.029744e-01	5.534382e-02	7.000000e-02	9.000000e-02	1.200000e-01	8.882353e-02	5.498663e-02	4.000000e-02	7.000000e-02	1.100000e-01	2.070199e-01	9.287120e-02	1.450000e-01	2.100000e-01	2.800000e-01	9.677925e-02	4.508195e-02	6.000000e-02	9.000000e-02	1.200000e-01	4.000000e-02	0.000000e+00	4.000000e-02	4.000000e-02	4.000000e-02
a:	72225	3.512057e-02	4.940118e-02	3.505988e-01	5.899342e-01	1.310333e-01	1.210420e-01	7.000000e-02	1.000000e-01	1.600000e-01	1.289580e-01	1.257668e-01	6.000000e-02	1.000000e-01	1.600000e-01	1.445069e-01	1.393460e-01	6.000000e-02	1.000000e-01	1.800000e-01	1.223851e-01	1.009255e-01	7.000000e-02	1.000000e-01	1.500000e-01	1.787741e-01	3.029488e-01	4.000000e-02	7.000000e-02	1.600000e-01
u:	15758	7.662582e-03	3.997969e-03	2.121462e-01	7.750349e-01	1.019076e-01	5.786260e-02	6.000000e-02	9.000000e-02	1.300000e-01	1.122222e-01	5.255395e-02	7.000000e-02	1.100000e-01	1.550000e-01	8.241998e-02	6.889022e-02	4.000000e-02	5.000000e-02	9.000000e-02	1.056358e-01	5.078808e-02	7.000000e-02	1.000000e-01	1.300000e-01	2.383453e-01	9.287164e-02	1.850000e-01	2.500000e-01	3.050000e-01
o:	17522	8.520355e-03	1.065518e-01	3.234220e-01	5.616939e-01	1.102271e-01	6.728450e-02	6.000000e-02	1.000000e-01	1.400000e-01	1.005410e-01	4.982232e-02	7.000000e-02	9.000000e-02	1.200000e-01	1.179681e-01	8.974675e-02	6.000000e-02	9.000000e-02	1.500000e-01	1.066176e-01	5.097674e-02	7.000000e-02	1.000000e-01	1.400000e-01	1.769521e-01	1.227970e-01	7.000000e-02	1.600000e-01	2.400000e-01
e:	34380	1.671783e-02	1.009308e-02	1.571844e-01	8.179465e-01	1.083201e-01	6.828649e-02	6.000000e-02	9.000000e-02	1.300000e-01	1.203170e-01	5.022680e-02	9.000000e-02	1.200000e-01	1.500000e-01	1.712898e-01	9.950900e-02	1.000000e-01	1.600000e-01	2.300000e-01	9.408663e-02	4.918329e-02	6.000000e-02	8.000000e-02	1.200000e-01	2.181791e-01	9.534626e-02	1.500000e-01	2.200000e-01	2.800000e-01
