Database	TOTAL
Words	557561
total     2126634
Phon	Count	P(Phon)   	P(WI|Phon)	P(WF|Phon)	P(WM|Phon)	Mean(Phon)	SD(Phon)	QQ_25(Phon)	QQ_50(Phon)	QQ_75(Phon)	Mean(WI Phon)	SD(WI Phon)	QQ_25(WI Phon)	QQ_50(WI Phon)	QQ_75(WI Phon)	Mean(WF Phon)	SD(WF Phon)	QQ_25(WF Phon)	QQ_50(WF Phon)	QQ_75(WF Phon)	Mean(WM Phon)	SD(WM Phon)	QQ_25(WM Phon)	QQ_50(WM Phon)	QQ_75(WM Phon)	Mean(WS Phon)	SD(WS Phon)	QQ_25(WS Phon)	QQ_50(WS Phon)	QQ_75(WS Phon)
aI	47913	2.252997e-02	1.495419e-01	1.629829e-01	6.857847e-01	1.289058e-01	8.794475e-02	8.000000e-02	1.200000e-01	1.500000e-01	1.217534e-01	9.597343e-02	8.000000e-02	1.100000e-01	1.400000e-01	1.369108e-01	1.052304e-01	7.000000e-02	1.000000e-01	1.700000e-01	1.285253e-01	8.117088e-02	9.000000e-02	1.200000e-01	1.500000e-01	1.441983e-01	9.621370e-02	9.000000e-02	1.200000e-01	1.600000e-01
OY	4884	2.296587e-03	0.000000e+00	3.521704e-02	9.647830e-01	1.235063e-01	4.567777e-02	9.000000e-02	1.200000e-01	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.131686e-01	4.854600e-02	8.000000e-02	1.100000e-01	1.300000e-01	1.238837e-01	4.553073e-02	9.000000e-02	1.200000e-01	1.500000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
aU	19945	9.378671e-03	4.270243e-01	1.359238e-01	4.149912e-01	1.364886e-01	6.869281e-02	9.000000e-02	1.300000e-01	1.700000e-01	1.421980e-01	6.683648e-02	9.000000e-02	1.400000e-01	1.800000e-01	1.401697e-01	9.161129e-02	7.000000e-02	1.100000e-01	1.900000e-01	1.313302e-01	6.145730e-02	9.000000e-02	1.200000e-01	1.700000e-01	1.003295e-01	4.665282e-02	6.000000e-02	1.000000e-01	1.300000e-01
E:	5449	2.562265e-03	4.220958e-03	3.615342e-02	9.565058e-01	1.137837e-01	1.331379e-01	5.000000e-02	8.000000e-02	1.200000e-01	1.780462e-01	1.806083e-01	1.025000e-01	1.400000e-01	1.750000e-01	1.831475e-01	1.304826e-01	5.000000e-02	1.800000e-01	3.000000e-01	1.102949e-01	1.319288e-01	5.000000e-02	8.000000e-02	1.200000e-01	2.926471e-01	1.019515e-01	2.400000e-01	2.900000e-01	3.400000e-01
y:	5519	2.595181e-03	2.692517e-01	3.424533e-02	6.856315e-01	7.344990e-02	4.724191e-02	4.000000e-02	6.000000e-02	9.000000e-02	6.648385e-02	3.461090e-02	4.000000e-02	5.000000e-02	8.000000e-02	1.506349e-01	8.553100e-02	8.000000e-02	1.400000e-01	2.100000e-01	7.009778e-02	4.070442e-02	4.000000e-02	6.000000e-02	8.000000e-02	2.142500e-01	8.857547e-02	1.700000e-01	2.200000e-01	2.700000e-01
2:	3512	1.651436e-03	6.833713e-03	4.299544e-02	9.498861e-01	9.017369e-02	5.424292e-02	5.000000e-02	8.000000e-02	1.100000e-01	7.583333e-02	5.046882e-02	4.000000e-02	5.500000e-02	1.000000e-01	2.070199e-01	9.287120e-02	1.450000e-01	2.100000e-01	2.800000e-01	8.500300e-02	4.522076e-02	5.000000e-02	8.000000e-02	1.100000e-01	4.000000e-02	0.000000e+00	4.000000e-02	4.000000e-02	4.000000e-02
a:	73462	3.454379e-02	4.866462e-02	3.446952e-01	5.967439e-01	1.304315e-01	1.204971e-01	7.000000e-02	1.000000e-01	1.600000e-01	1.288566e-01	1.256885e-01	6.000000e-02	1.000000e-01	1.600000e-01	1.445069e-01	1.393460e-01	6.000000e-02	1.000000e-01	1.800000e-01	1.216279e-01	1.003838e-01	7.000000e-02	1.000000e-01	1.500000e-01	1.787741e-01	3.029488e-01	4.000000e-02	7.000000e-02	1.600000e-01
u:	21480	1.010047e-02	1.742086e-01	1.556331e-01	6.636872e-01	9.864013e-02	5.786206e-02	5.000000e-02	9.000000e-02	1.300000e-01	9.920096e-02	5.914681e-02	4.000000e-02	9.000000e-02	1.400000e-01	8.241998e-02	6.889022e-02	4.000000e-02	5.000000e-02	9.000000e-02	1.009343e-01	5.170211e-02	6.000000e-02	9.000000e-02	1.300000e-01	2.383453e-01	9.287164e-02	1.850000e-01	2.500000e-01	3.050000e-01
o:	21595	1.015454e-02	9.724473e-02	2.624219e-01	6.335726e-01	1.011956e-01	6.498400e-02	5.000000e-02	9.000000e-02	1.300000e-01	9.546667e-02	4.998972e-02	6.000000e-02	9.000000e-02	1.200000e-01	1.179681e-01	8.974675e-02	6.000000e-02	9.000000e-02	1.500000e-01	9.431954e-02	5.056028e-02	5.000000e-02	8.000000e-02	1.200000e-01	1.769521e-01	1.227970e-01	7.000000e-02	1.600000e-01	2.400000e-01
e:	46495	2.186319e-02	5.217765e-02	1.162276e-01	8.206689e-01	9.688430e-02	6.455368e-02	5.000000e-02	8.000000e-02	1.200000e-01	8.307502e-02	4.555799e-02	4.000000e-02	7.000000e-02	1.100000e-01	1.712898e-01	9.950900e-02	1.000000e-01	1.600000e-01	2.300000e-01	8.560972e-02	4.799725e-02	5.000000e-02	7.000000e-02	1.100000e-01	2.181791e-01	9.534626e-02	1.500000e-01	2.200000e-01	2.800000e-01
