Database	TOTAL
Pronunciation types	28754
Pronunciation tokens	690110
ORTHOGRAPHY	PRONUNCIATION	COUNT	P(P|W)
<%>	<usb>	912	1.000000e+00
a	Qa:	67	4.685315e-01
a	a	10	6.993007e-02
a	Qa	1	6.993007e-03
a	a:	65	4.545455e-01
"a	E:	2	5.000000e-01
"a	QE:	2	5.000000e-01
A	a:	8	1.000000e+00
$A	Qa:	149	7.487437e-01
$A	a:	50	2.512563e-01
$"A	E:	14	1.333333e-01
$"A	QE:	91	8.666667e-01
Aachen	Qa:x@n	14	3.500000e-01
Aachen	a:xm	1	2.500000e-02
Aachen	a:xn	5	1.250000e-01
Aachen	a:x@m	1	2.500000e-02
Aachen	Qa:xn	4	1.000000e-01
Aachen	a:x@n	14	3.500000e-01
Aachen	a:xN	1	2.500000e-02
$A-acht	a:Qaxt	1	1.000000e+00
ab	hap	26	1.471420e-02
ab	ap	867	4.906621e-01
ab	Qap	874	4.946237e-01
Ab	ap	2	4.000000e-01
Ab	Qap	3	6.000000e-01
abartig	apQa:rtIC	1	1.000000e+00
Abbauen	QapbaUn	1	1.000000e+00
abbekommen	apb@kOm	1	1.000000e+00
abbiegen	apbi:gN	1	1.000000e+00
Abbildung	apbIldUN	1	1.000000e+00
abbrechen	QapbrEC@n	1	1.666667e-01
abbrechen	apbrEC@n	4	6.666667e-01
abbrechen	apbrECn	1	1.666667e-01
Abbruch	apbrUx	1	1.000000e+00
abbuchen	apbu:x@n	2	1.000000e+00
$A-$B-$C-Reiseb"uro	Qa:be:tse:raIz@byro:	2	1.000000e+00
aben	a:b@n	1	1.000000e+00
Aben	a:b@n	1	1.000000e+00
abend	a:mmt	1	2.403846e-03
abend	Qa:b@nt	21	5.048077e-02
abend	a:mn	1	2.403846e-03
abend	a:bm	27	6.490385e-02
abend	Qa:bmt	1	2.403846e-03
abend	Qa:bm	8	1.923077e-02
abend	Qa:b@n	10	2.403846e-02
abend	a:b@nt	59	1.418269e-01
abend	a:b@nh	6	1.442308e-02
abend	Qa:mmt	1	2.403846e-03
abend	a:bmt	1	2.403846e-03
abend	a:mt	157	3.774038e-01
abend	a:b@n	87	2.091346e-01
abend	Qa:mt	36	8.653846e-02
Abend	a:mmt	1	3.344482e-03
Abend	Qa:b@nt	20	6.688963e-02
Abend	Qa:b@nh	1	3.344482e-03
Abend	a:mn	2	6.688963e-03
Abend	a:bm	31	1.036789e-01
Abend	a:bn	1	3.344482e-03
Abend	Qa:bmt	2	6.688963e-03
Abend	Qa:b@n	9	3.010033e-02
Abend	Qa:bm	3	1.003344e-02
Abend	a:b@nt	51	1.705686e-01
Abend	a:b@nh	2	6.688963e-03
Abend	Qa:mmt	1	3.344482e-03
Abend	a:mt	114	3.812709e-01
Abend	a:b@n	34	1.137124e-01
Abend	Qa:mt	27	9.030100e-02
Abendbrot	a:mtbro:t	3	7.500000e-01
Abendbrot	Qa:mtbro:t	1	2.500000e-01
Abende	Qa:b@nd@	2	2.500000e-01
Abende	a:b@nd@	3	3.750000e-01
Abende	a:mnd@	3	3.750000e-01
Abenden	a:b@nhn	1	1.000000e+00
Abende"schen	a:mtQEs@n	1	1.000000e+00
abendessen	a:mtQEsn	1	3.333333e-01
abendessen	a:mtQEs@n	1	3.333333e-01
abendessen	Qa:b@ntQEs@n	1	3.333333e-01
Abendessen	a:mtQEsn	36	3.564356e-01
Abendessen	a:b@ntQEs@n	5	4.950495e-02
Abendessen	Qa:mtQEs	1	9.900990e-03
Abendessen	a:bmtQEs@n	1	9.900990e-03
Abendessen	a:b@ntQEsn	5	4.950495e-02
Abendessen	a:mtQEs@n	7	6.930693e-02
Abendessen	Qa:mtQEs@n	5	4.950495e-02
Abendessen	Qa:b@ntQEsn	8	7.920792e-02
Abendessen	Qa:mtQEsm	1	9.900990e-03
Abendessen	Qa:mtQEsn	27	2.673267e-01
Abendessen	Qa:b@ntQEs@m	1	9.900990e-03
Abendessen	a:bmtQEsn	1	9.900990e-03
Abendessen	Qa:b@ntQEs@n	2	1.980198e-02
Abendessen	a:mtQEs@N	1	9.900990e-03
Abendessens	a:b@ntQEsns	1	5.000000e-01
Abendessens	Qa:b@ntQEsns	1	5.000000e-01
Abendflug	a:mtflu:k	2	1.000000e+00
Abendfl"uge	Qa:b@ntfly:g@	1	1.000000e+00
Abendgestaltung	Qa:bmtg@StaltUN	1	1.111111e-01
Abendgestaltung	a:mtg@StaltUN	5	5.555556e-01
Abendgestaltung	a:mtgStaltUN	1	1.111111e-01
Abendgestaltung	Qa:mtg@StaltUN	1	1.111111e-01
Abendgestaltung	Qa:b@ntg@StaltUN	1	1.111111e-01
Abendkasse	a:mtkas@	1	1.000000e+00
abendlich	a:mtlIC	1	1.000000e+00
abendliche	a:mtlIC@	1	1.000000e+00
Abend"offnung	Qa:mtQ9fnUN	1	1.000000e+00
Abendplanung	a:mtpla:nUN	2	1.000000e+00
Abendprogramm	Qa:b@ntprogram	13	1.382979e-01
Abendprogramm	Qa:mtprogram	27	2.872340e-01
Abendprogramm	a:mtprogra	1	1.063830e-02
Abendprogramm	a:b@ntprogram	13	1.382979e-01
Abendprogramm	a:mtprogram	40	4.255319e-01
Abendprogramme	Qa:mtprogram	1	2.500000e-01
Abendprogramme	Qa:mtprogram@	2	5.000000e-01
Abendprogramme	a:mtprogram@	1	2.500000e-01
Abendprogramms	a:mtprograms	3	1.000000e+00
abends	Qa:b@nt	2	4.098361e-03
abends	a:b@ntS	1	2.049180e-03
abends	a:mns	1	2.049180e-03
abends	Qa:bnts	1	2.049180e-03
abends	Qa:mts	77	1.577869e-01
abends	a:bmts	1	2.049180e-03
abends	Qa:b@nts	51	1.045082e-01
abends	a:mn	1	2.049180e-03
abends	Qa:mnts	1	2.049180e-03
abends	Qa:bms	19	3.893443e-02
abends	a:bn	1	2.049180e-03
abends	a:b@ns	7	1.434426e-02
abends	a:b@nts	87	1.782787e-01
abends	a:mts	159	3.258197e-01
abends	a:b@nt	2	4.098361e-03
abends	Qa:b@n	6	1.229508e-02
abends	a:bnts	1	2.049180e-03
abends	Qa:bmts	2	4.098361e-03
abends	a:bms	45	9.221311e-02
abends	a:mt	6	1.229508e-02
abends	a:b@n	9	1.844262e-02
abends	a:mnts	2	4.098361e-03
abends	Qa:mt	3	6.147541e-03
abends	Qa:b@ns	3	6.147541e-03
Abends	a:mn	1	5.000000e-01
Abends	a:mts	1	5.000000e-01
Abendstunden	Qa:bmStUndn	1	5.000000e-01
Abendstunden	a:mtStUndn	1	5.000000e-01
Abendtermin	a:b@nttE6mi:n	1	1.000000e+00
Abendtermine	a:mtt@mi:n@	1	1.000000e+00
Abendtr	a:mttr	1	1.000000e+00
Abendtreffen	Qa:mttrEfm	1	1.000000e+00
Abendunternehmungen	a:b@ntQUnt6ne:mUN@n	1	1.000000e+00
Abendveranstaltungen	a:b@ntfE6anStaltUNN	1	1.000000e+00
Abendvorstellung	a:mtfo:6StElUN	1	5.000000e-01
Abendvorstellung	a:b@ntfo:6StElUN	1	5.000000e-01
Abendzug	a:b@nttsu:k	1	3.333333e-01
Abendzug	a:mttsu:k	1	3.333333e-01
Abendzug	Qa:mttsu:k	1	3.333333e-01
abenschlie"senden	a:b@nSli:s@nd@n	1	1.000000e+00
aber	a:b6	2034	6.717305e-01
aber	Qa:b6	994	3.282695e-01
Aberglaubens	Qa:b6glaUb@ns	1	1.000000e+00
abergl"aubisch	a:b6glOYbIS	3	6.000000e-01
abergl"aubisch	Qa:b6glOYbIS	2	4.000000e-01
abf	Qapf	1	1.000000e+00
Abfahr	apfa:r	1	1.000000e+00
abfahren	Qapfa:r@n	1	2.564103e-02
abfahren	apfa:6n	24	6.153846e-01
abfahren	Qapfa:6n	9	2.307692e-01
abfahren	Qapfa:n	1	2.564103e-02
abfahren	apfa:r@n	1	2.564103e-02
abfahren	apfa:n	3	7.692308e-02
Abfahren	apfa:6n	1	1.000000e+00
abf"ahrt	QapfE:6t	3	6.000000e-01
abf"ahrt	apfE:6	1	2.000000e-01
abf"ahrt	apfE:6t	1	2.000000e-01
Abfahrt	apfa:rt	14	7.777778e-01
Abfahrt	Qapfa:rt	4	2.222222e-01
Abfahrten	apfa:rtn	1	1.000000e+00
Abfahrts	Qapfa:rt	1	1.000000e+00
Abfahrtsstelle	apfa:rtStEl@	1	1.000000e+00
Abfahrtstermin	Qapfa:rtst@mi:n	1	1.000000e+00
Abfahrtszeit	apfa:rtstsaIt	3	1.000000e+00
Abfahrtszeiten	apfa:rtstsaItn	1	2.500000e-01
Abfahrtszeiten	Qapfa:rtstsaItn	3	7.500000e-01
abfassen	apfas@n	3	3.000000e-01
abfassen	Qapfas@n	2	2.000000e-01
abfassen	apfasm	1	1.000000e-01
abfassen	apfasn	3	3.000000e-01
abfassen	Qapfasn	1	1.000000e-01
Abfassen	apfasn	2	5.000000e-01
Abfassen	Qapfasn	2	5.000000e-01
Abfassung	apfasUN	2	1.000000e+00
Abfertigungs	apfE6tIgUNs	1	1.000000e+00
Abfertigungshalle	apfE6tIgUNshal@	1	1.000000e+00
abfliegen	apfli:gN	5	5.000000e-01
abfliegen	apfli:g@n	3	3.000000e-01
abfliegen	Qapfli:g@n	1	1.000000e-01
abfliegen	Qapfli:gN	1	1.000000e-01
Abflug	apflu:k	5	7.142857e-01
Abflug	Qapflu:k	2	2.857143e-01
Abfl"ug	Qapfly:k	1	1.000000e+00
Abfl"uge	apfly:g@	1	1.000000e+00
Abflugm"oglichkeit	apflu:km2:klICkaIt	1	1.000000e+00
Abflugszeiten	Qapflu:kstsaIt@n	1	1.000000e+00
Abflugtermin	apflu:ktE6mi:n	1	5.000000e-01
Abflugtermin	hapflu:ktE6mi:n	1	5.000000e-01
Abflugterminal	Qapflu:kt96mIn@l	1	1.000000e+00
Abflugzeit	Qapflu:ktsaIt	1	1.000000e+00
Abflugzeiten	Qapflu:ktsaItn	1	3.333333e-01
Abflugzeiten	apflu:ktsaIt@n	1	3.333333e-01
Abflugzeiten	Qapflu:ktsaIQn	1	3.333333e-01
Abfragen	Qapfra:gN	1	1.000000e+00
Abga	apga	1	1.000000e+00
abge	apg@	1	1.000000e+00
abgearbeitet	apg@arbaIt@t	1	1.000000e+00
abgebaut	apg@baUt	1	1.000000e+00
abgeben	Qapge:b@n	1	2.000000e-01
abgeben	apge:bm	1	2.000000e-01
abgeben	apge:m	3	6.000000e-01
abgeblieben	Qapg@bli:m	1	1.000000e+00
abgebrannt	apgbran	1	5.000000e-01
abgebrannt	Qapgbrant	1	5.000000e-01
abgebummelt	apg@bUm@lt	1	1.000000e+00
abgedeckt	Qapg@dEk	1	2.500000e-01
abgedeckt	Qapg@dEkt	2	5.000000e-01
abgedeckt	apg@dEkt	1	2.500000e-01
abgefahren	apg@fa:6n	1	1.000000e+00
abgefr"agt	apg@frEk	1	1.000000e+00
abgefunden	Qapg@fUnQn	1	1.000000e+00
abgegangen	apg@gaN@n	1	1.000000e+00
abgegeben	Qapg@ge:b@n	2	2.857143e-01
abgegeben	apg@ge:m	4	5.714286e-01
abgegeben	apg@ge:b@n	1	1.428571e-01
abgehakt	apg@ha:k	2	3.333333e-01
abgehakt	apg@ha:kt	3	5.000000e-01
abgehakt	Qapg@ha:kt	1	1.666667e-01
abgehandelt	apg@handl	1	1.000000e+00
abgehauen	apg@haUn	2	1.000000e+00
abgehen	Qapge:@n	1	3.333333e-01
abgehen	apge:n	2	6.666667e-01
abgeholt	apg@ho:lt	4	5.714286e-01
abgeholt	apg@ho:l	2	2.857143e-01
abgeholt	Qapg@ho:lt	1	1.428571e-01
abgeht	apge:ht	1	5.000000e-01
abgeht	apge:t	1	5.000000e-01
abgeklappert	apg@klap6t	1	1.000000e+00
abgekl"ar	apgklE:6	1	1.000000e+00
abgekl"art	apgklE:6t	1	2.000000e-01
abgekl"art	QapgklE:6t	1	2.000000e-01
abgekl"art	apg@klE:6t	2	4.000000e-01
abgekl"art	Qapg@klE:6t	1	2.000000e-01
abgekommen	apg@kOm	1	1.000000e+00
abgelaufen	apg@laUfm	1	5.000000e-01
abgelaufen	abg@laUfn	1	5.000000e-01
abgelegen	Qapg@le:gN	1	1.000000e+00
abgelegt	Qapgle:kt	1	1.000000e+00
abgelehnt	apg@le:nt	1	1.000000e+00
abgelenkt	apg@lENkt	1	5.000000e-01
abgelenkt	apg@lENk	1	5.000000e-01
abgeliefert	apg@li:f6	2	1.000000e+00
abgemacht	abg@maxt	1	4.347826e-02
abgemacht	Qapg@maxt	13	5.652174e-01
abgemacht	Qabg@maxt	2	8.695652e-02
abgemacht	Qapg@max	1	4.347826e-02
abgemacht	apg@maxt	6	2.608696e-01
abgemachte	Qapg@maxt@	1	1.000000e+00
abgeneigt	apg@naIkt	2	5.000000e-01
abgeneigt	apg@naIk	1	2.500000e-01
abgeneigt	Qapg@naIkt	1	2.500000e-01
abgenommen	apg@nOm	2	1.000000e+00
abgereist	apg@raIst	1	1.000000e+00
abgerissen	apgrIsn	1	1.000000e+00
abgeschafft	apg@Saft	1	1.000000e+00
abgeschickt	Qapg@SIkt	1	1.000000e+00
abgeschlossen	abg@SlOsn	2	2.000000e-01
abgeschlossen	Qapg@SlOs@n	1	1.000000e-01
abgeschlossen	apg@SlOsn	6	6.000000e-01
abgeschlossen	abg@SlOs@n	1	1.000000e-01
abgeschweift	QapgSvaIft	1	1.000000e+00
abgesehen	Qapg@ze:@n	1	2.000000e-01
abgesehen	apg@ze:n	4	8.000000e-01
abgespannt	apg@Spant	1	1.000000e+00
abgespeichert	apg@SpaIC6t	1	1.000000e+00
abgesprochen	apg@SprOxn	3	2.500000e-01
abgesprochen	apg@SprOx@n	5	4.166667e-01
abgesprochen	Qapg@SprOx@n	2	1.666667e-01
abgesprochen	apg@SprOxN	1	8.333333e-02
abgesprochen	Qapg@SprOxN	1	8.333333e-02
abgestellt	apg@StElt	2	6.666667e-01
abgestellt	apg@StEl	1	3.333333e-01
abgestiegen	apg@Sti:gN	1	1.000000e+00
abgestimmt	apg@StIm	1	5.000000e-01
abgestimmt	Qapg@StIm	1	5.000000e-01
abgest"urzt	apg@StY6ts	2	5.000000e-01
abgest"urzt	apg@StY6tst	1	2.500000e-01
abgest"urzt	Qapg@StY6ts	1	2.500000e-01
abgesucht	apg@zu:xt	1	1.000000e+00
abgetippt	apg@tIpt	1	1.000000e+00
abgewartet	apg@vart@t	1	1.000000e+00
abgewickelt	Qapg@vIk@lt	1	1.000000e+00
abgewischt	apg@vISt	1	1.000000e+00
abgleichen	apglaICn	3	7.500000e-01
abgleichen	QapglaICn	1	2.500000e-01
abhaken	Qapha:kN	1	1.000000e+00
abh"alt	aphElt	1	1.000000e+00
abhalten	Qaphalt@n	1	5.555556e-02
abhalten	Qaphaltn	1	5.555556e-02
abhalten	aphaln	1	5.555556e-02
abhalten	aphaltn	7	3.888889e-01
abhalten	QaphalQn	3	1.666667e-01
abhalten	aphalt	1	5.555556e-02
abhalten	aphalQn	2	1.111111e-01
abhalten	aphalt@n	2	1.111111e-01
abhandeln	aphann@ln	1	5.000000e-01
abhandeln	aphand@l	1	5.000000e-01
abh"angig	QaphENIC	3	4.285714e-01
abh"angig	aphENIC	4	5.714286e-01
abhauen	aphaU@n	1	1.000000e+00
abhetzen	aphEtsn	1	1.000000e+00
abhol	apho:l	1	1.000000e+00
abhole	apho:l@	2	1.000000e+00
abholen	Qapho:l@n	2	4.444444e-02
abholen	apho:l@N	1	2.222222e-02
abholen	apho:lm	1	2.222222e-02
abholen	apho:ln	25	5.555556e-01
abholen	Qapho:ln	10	2.222222e-01
abholen	apho:l@n	6	1.333333e-01
abh"oren	Qaph2:6n	1	1.000000e+00
Abi	Qabi	2	1.000000e+00
Abitur	abitu:6	2	6.666667e-01
Abitur	Qabitu:6	1	3.333333e-01
abkapseln	hapkaps@ln	1	1.000000e+00
abkl"are	apklE:	1	1.000000e+00
abkl"aren	apklE:r@n	3	1.428571e-01
abkl"aren	QapklE:r@n	2	9.523810e-02
abkl"aren	apklE:6n	10	4.761905e-01
abkl"aren	QapklE:6n	6	2.857143e-01
abk"ommlich	apk9mIf	1	1.250000e-01
abk"ommlich	apk9mlIC	4	5.000000e-01
abk"ommlich	apk9mIC	1	1.250000e-01
abk"ommlich	Qapk9mIC	1	1.250000e-01
abk"ommlich	Qapk9mlIC	1	1.250000e-01
Ablauf	QaplaUf	2	6.666667e-01
Ablauf	aplaUf	1	3.333333e-01
ablaufen	aplaUf@n	1	1.000000e+00
abl"auft	aplOYft	1	1.000000e+00
ablegen	aple:gN	2	1.000000e+00
ablehne	Qaple:n@	1	1.000000e+00
ablehnen	aple:nn	1	1.000000e+00
ableistet	aplaIst@t	1	1.000000e+00
Ableitner	aplaItn6	13	5.909091e-01
Ableitner	QaplaItn6	9	4.090909e-01
ablenken	aplENkN	2	1.000000e+00
Ablenkung	QaplENkUN	1	1.000000e+00
ablesen	aple:zn	1	5.000000e-01
ablesen	Qaple:z@n	1	5.000000e-01
ablief	apli:f	1	1.000000e+00
abmache	Qapmax@	1	1.000000e+00
abmachen	QapmaxN	2	9.090909e-02
abmachen	apmaxn	2	9.090909e-02
abmachen	apmahN	2	9.090909e-02
abmachen	apmax@n	8	3.636364e-01
abmachen	Qapmax@n	4	1.818182e-01
abmachen	apmaxN	4	1.818182e-01
Abmachung	QapmaxUN	1	1.000000e+00
abmelde	apmEld	1	1.000000e+00
abmelden	apmEld@n	1	1.000000e+00
abnehmen	apne:m@n	1	1.000000e+00
Abom	abOm	1	1.000000e+00
Abonnements	QabOn@ma~:s	1	1.000000e+00
abpumpen	appUmp@n	1	1.000000e+00
abrechnen	aprECn@n	4	8.000000e-01
abrechnen	QaprECn@n	1	2.000000e-01
Abrechnung	aprECnUN	1	1.000000e+00
Abrechnungs	aprECnUNs	1	1.000000e+00
Abreise	apraIz@	3	7.500000e-01
Abreise	QapraIz@	1	2.500000e-01
abreisebereit	apraIz@b@raIt	1	1.000000e+00
abreisen	apraIz@n	3	3.000000e-01
abreisen	apraIzn	4	4.000000e-01
abreisen	QapraIzn	2	2.000000e-01
abreisen	QapraIz@n	1	1.000000e-01
Abreisetermin	apraIz@tE6mi:n	1	5.000000e-01
Abreisetermin	QapraIz@tE6mi:n	1	5.000000e-01
abrunden	QaprUnd@n	1	1.000000e+00
absa	apza	1	1.000000e+00
Absacker	Qapzak6	1	3.333333e-01
Absacker	apzak6	2	6.666667e-01
absagen	apza:g@n	2	1.111111e-01
absagen	Qapza:N	5	2.777778e-01
absagen	apza:gN	2	1.111111e-01
absagen	Qapza:g@n	2	1.111111e-01
absagen	Qapza:gN	1	5.555556e-02
absagen	apza:N	5	2.777778e-01
absagen	apza:Nn	1	5.555556e-02
Absatz	apzats	1	3.333333e-01
Absatz	apzat	1	3.333333e-01
Absatz	Qapzats	1	3.333333e-01
absch	apS	1	1.000000e+00
abschalten	apSaltn	1	1.000000e+00
absch"atzen	apSEtsn	1	5.000000e-01
absch"atzen	apSEts@n	1	5.000000e-01
Abschied	apSi:t	2	1.000000e+00
abschlagen	apSla:g@n	1	1.000000e+00
